iter	Logloss
0	0.1258008491
1	0.02671015179
2	0.009303296335
3	0.004907255901
4	0.003783663791
5	0.003329522122
6	0.002975396612
7	0.00284247954
8	0.002694431706
9	0.002658200725
10	0.002571362646
11	0.002528479797
12	0.002457484467
13	0.002390420172
14	0.00229899543
15	0.002275057936
16	0.002241450361
17	0.002212440333
18	0.002193195242
19	0.002151756665
20	0.002087739666
21	0.002075245111
22	0.002061158768
23	0.002032040339
24	0.002019695147
25	0.001979133873
26	0.00197093598
27	0.001878459276
28	0.001854019915
29	0.001814796238
30	0.001804316304
31	0.001791221334
32	0.001747962523
33	0.001738222857
34	0.001727745163
35	0.001689299558
36	0.001650050306
37	0.001638487627
38	0.001618433754
39	0.001600878948
40	0.001591303407
41	0.001540777904
42	0.001530331698
43	0.001522212879
44	0.001510598837
45	0.001471754938
46	0.001457811649
47	0.001435274407
48	0.00141861572
49	0.001406605031
50	0.001399891716
51	0.001391853838
52	0.001376748094
53	0.00136568621
54	0.001339953195
55	0.001331989134
56	0.001326566555
57	0.00129686456
58	0.001277140878
59	0.001257985794
60	0.001248951513
61	0.001234250042
62	0.001212043945
63	0.001194736619
64	0.001169707062
65	0.001155241855
66	0.001141060978
67	0.001128966125
68	0.001115485716
69	0.001107851759
70	0.001089309011
71	0.001078137059
72	0.001056936698
73	0.001047940974
74	0.001040180506
75	0.001032026918
76	0.001023561201
77	0.001015095691
78	0.001010024358
79	0.001000636718
80	0.0009935337232
81	0.000972341802
82	0.0009696803136
83	0.0009552603085
84	0.0009486478108
85	0.0009408557962
86	0.0009248309282
87	0.0009202146329
88	0.0009143899508
89	0.0009027211934
90	0.0008853795268
91	0.0008736912067
92	0.0008669526707
93	0.000862556973
94	0.0008536028296
95	0.0008472097457
96	0.0008411936623
97	0.0008332059009
98	0.0008277963869
99	0.0008202983394
100	0.0008156704317
101	0.0008031136837
102	0.0007966431551
103	0.0007877865585
104	0.0007840661582
105	0.0007808492264
106	0.000775313898
107	0.0007663979376
108	0.0007619659875
109	0.0007590332412
110	0.0007552949599
111	0.0007482025365
112	0.0007286973977
113	0.0007223801793
114	0.0007118598921
115	0.0007079263686
116	0.0006890897608
117	0.0006852818946
118	0.000678226389
119	0.0006700197262
120	0.000666731942
121	0.0006543995327
122	0.0006458975657
123	0.0006431034185
124	0.0006356140218
125	0.0006272966646
126	0.0006264582348
127	0.0006157888352
128	0.000610898107
129	0.0006042380125
130	0.0006026419741
131	0.0005945663238
132	0.0005841710001
133	0.0005790996201
134	0.000571604576
135	0.0005696684
136	0.0005591456743
137	0.0005554428718
138	0.0005444897378
139	0.0005440451463
140	0.0005422559422
141	0.0005302359199
142	0.0005298346695
143	0.0005253386101
144	0.0005243553636
145	0.0005161067082
146	0.0005127648898
147	0.0005081504194
148	0.0005054596975
149	0.000497714134
150	0.0004953853792
151	0.0004949101948
152	0.0004916755183
153	0.0004834821691
154	0.0004829312815
155	0.0004797618636
156	0.0004786925658
157	0.0004782942116
158	0.0004623438158
159	0.0004590428275
160	0.0004550095673
161	0.0004439027811
162	0.0004401014367
163	0.0004256577368
164	0.0004189708833
165	0.0004120529818
166	0.000404094255
167	0.000401567183
168	0.0003958651279
169	0.0003940291369
170	0.0003893554505
171	0.0003856334348
172	0.0003814662683
173	0.0003795874268
174	0.000373909281
175	0.0003688052145
176	0.0003641739154
177	0.0003582008975
178	0.0003543703583
179	0.0003501227758
180	0.0003454061879
181	0.0003400039438
182	0.0003343630293
183	0.0003324363065
184	0.0003275969605
185	0.0003147387274
186	0.0003141210601
187	0.0003094477402
188	0.0003041083647
189	0.0002984934939
190	0.0002942025702
191	0.000281287306
192	0.0002719421136
193	0.0002702912108
194	0.0002691876942
195	0.0002649008842
196	0.0002617372856
197	0.0002610806622
198	0.0002606568855
199	0.0002596731416
200	0.0002524301773
201	0.0002479539124
202	0.0002463901084
203	0.0002456404332
204	0.0002453321433
205	0.0002435102739
206	0.0002357294522
207	0.0002324856777
208	0.0002307358283
209	0.0002287605382
210	0.0002277318206
211	0.0002265191079
212	0.0002251450997
213	0.0002244741112
214	0.0002220759445
215	0.0002209012113
216	0.0002192719566
217	0.0002160703512
218	0.0002130857971
219	0.0002108861744
220	0.0002068776918
221	0.0002061353144
222	0.0002059930776
223	0.0002024761741
224	0.0002015165147
225	0.0001999754162
226	0.0001955620667
227	0.0001951795813
228	0.0001923732942
229	0.0001888760032
230	0.0001845780748
231	0.0001824690239
232	0.0001808921493
233	0.000180320405
234	0.0001790935419
235	0.0001744380493
236	0.0001704784416
237	0.0001670420653
238	0.000165791494
239	0.0001633767975
240	0.0001628526881
241	0.0001615034893
242	0.000160668477
243	0.0001605568568
244	0.0001586556426
245	0.0001583655235
246	0.0001581733454
247	0.0001578688983
248	0.0001543468836
249	0.0001509474833
250	0.000150600553
251	0.0001494798884
252	0.000148923837
253	0.0001475314546
254	0.0001466887465
255	0.0001434288926
256	0.0001426462626
257	0.0001418817539
258	0.0001411733743
259	0.0001401727873
260	0.0001370516829
261	0.0001355607189
262	0.0001341497587
263	0.0001338041923
264	0.0001335789856
265	0.0001326894458
266	0.000129725709
267	0.0001292151901
268	0.0001283329206
269	0.0001279393726
270	0.0001271568722
271	0.0001258426024
272	0.0001235024091
273	0.000123211108
274	0.0001230489196
275	0.0001211600024
276	0.0001198431577
277	0.0001189483726
278	0.0001183348785
279	0.0001169208622
280	0.0001167757849
281	0.0001155600412
282	0.0001153874909
283	0.0001149956248
284	0.0001143168676
285	0.0001137768345
286	0.0001121955359
287	0.0001120328953
288	0.0001104105563
289	0.0001101246083
290	0.0001098990003
291	0.0001091051041
292	0.0001086793395
293	0.0001072125596
294	0.0001066677242
295	0.0001065414355
296	0.0001051229821
297	0.0001049232601
298	0.0001046264143
299	0.0001036216659
